geo_id,geoname_id,name,latitude,longitude,continent,status
281,147059,Ahmadbayli,39.87867,48.39901,Asia/Baku,0
282,1279228,Ahmadnagar,19.09457,74.73843,Asia/Kolkata,0
283,1279227,Ahmadpur,18.70622,76.93731,Asia/Kolkata,0
284,1184845,Ahmadpur East,29.14309,71.25976,Asia/Karachi,0
285,1356491,Ahmadpur Sial,30.67539,71.74828,Asia/Karachi,0
286,1279233,Ahmedabad,23.02579,72.58727,Asia/Kolkata,0
287,1279219,Ahraura,25.01579,83.03294,Asia/Kolkata,0
288,2959083,Ahrensburg,53.67515,10.22593,Europe/Berlin,0
289,3587426,Ahuachapan,13.92139,-89.845,America/El_Salvador,0
290,144448,Ahvaz,31.31901,48.6842,Asia/Tehran,0
291,1127768,Aibak,36.26468,68.01551,Asia/Kabul,0
292,2958975,Aichach,48.45755,11.13413,Europe/Berlin,0
293,265533,Aigaleo,37.98333,23.68333,Europe/Athens,0
294,265500,Aigio,38.24861,22.08194,Europe/Athens,0
295,4569067,Aiken,33.56042,-81.71955,America/New_York,0
296,1651816,Aileu,-8.72806,125.56639,Asia/Dili,0
297,3472808,Aimores,-19.49583,-41.06389,America/Sao_Paulo,0
298,2508297,Ain Arnat,36.18683,5.31347,Africa/Algiers,0
299,2508287,Ain Beida,35.79639,7.39278,Africa/Algiers,0
300,2508268,Ain Bessem,36.29333,3.67319,Africa/Algiers,0
301,2508228,Ain Defla,36.26405,1.9679,Africa/Algiers,0
302,2508174,Ain el Bya,35.80389,-0.30178,Africa/Algiers,0
303,2508102,Ain Fakroun,35.97108,6.87374,Africa/Algiers,0
304,2508059,Ain Kercha,35.92472,6.69528,Africa/Algiers,0
305,2507972,Ain Oussera,35.45139,2.90583,Africa/Algiers,0
306,2507943,Ain Sefra,32.75,-0.58333,Africa/Algiers,0
307,2507926,Ain Smara,36.2674,6.50135,Africa/Algiers,0
308,7521348,Ain Sukhna,29.60018,32.31671,Africa/Cairo,0
309,2507912,Ain Taya,36.79333,3.28694,Africa/Algiers,0
310,2507901,Ain Temouchent,35.29749,-1.14037,Africa/Algiers,0
311,2507877,Ain Touta,35.37675,5.90001,Africa/Algiers,1
312,1865661,Aioi,34.80361,134.46806,Asia/Tokyo,0
313,5882799,Airdrie,51.30011,-114.03528,America/Edmonton,0
314,2657613,Airdrie,55.86602,-3.98025,Europe/London,0
315,7279599,Airoli,19.15096,72.99625,Asia/Kolkata,0
316,7302860,Aistala,23.18,88.58,Asia/Kolkata,0
